Keyword,Language,Region,Product,Why useful
corolla 2009 engine,English,West Africa wide,Engine,Model+year — common across English-speaking West Africa
toyota corolla engine for sale,English,West Africa wide,Engine,Transactional — ready to buy
corolla engine with gearbox,English,West Africa wide,Engine+GB,Bundle demand — very common phrasing
camry 2009 engine,English,West Africa wide,Engine,Popular Camry replacement search
camry engine with gearbox,English,West Africa wide,Engine+GB,Mechanic bundle query
hyundai ix35 engine,English,West Africa wide,Engine,Strong SUV demand across region
honda crv engine,English,West Africa wide,Engine,CR-V common replacement
honda civic engine,English,West Africa wide,Engine,Civic demand across region
half cut cars,English,West Africa wide,Half-cut,Core category — not country-specific
front cut cars,English,West Africa wide,Half-cut,Local synonym used in multiple countries
nose cut cars,English,West Africa wide,Half-cut,Another West Africa half-cut term
tokunbo engine,English,West Africa wide,Engine,Tokunbo = used import culture
used car engine for sale,English,West Africa wide,Engine,High purchase intent
auto parts from china,English,Africa wide,Import,Importer sourcing phrase
used engines from china africa,English,Africa wide,Import,China-to-Africa buyer language
half cut abidjan,English,Cote dIvoire,Half-cut,City search — francophone West Africa
half cut dakar,English,Senegal,Half-cut,City search — francophone West Africa
moteur corolla 2009,French,Francophone West Africa,Engine,Francophone model+year habit
moteur corolla occasion,French,Francophone West Africa,Engine,Occasion = used — core French term
moteur toyota camry,French,Francophone West Africa,Engine,Camry French search
moteur camry occasion,French,Francophone West Africa,Engine,Used Camry engine
moteur honda crv,French,Francophone West Africa,Engine,Honda CR-V French search
moteur honda civic,French,Francophone West Africa,Engine,Civic French search
moteur hyundai tucson,French,Francophone West Africa,Engine,Hyundai SUV French search
moteur kia sportage,French,Francophone West Africa,Engine,Kia SUV French search
boite vitesse corolla,French,Francophone West Africa,Gearbox,Boîte de vitesse = gearbox
boite vitesse camry,French,Francophone West Africa,Gearbox,Camry gearbox French term
demi coupe voiture,French,Francophone West Africa,Half-cut,French half-cut phrase
pieces auto occasion,French,Francophone West Africa,Spares,Used auto parts — broad French search
moteur occasion chine,French,Francophone West Africa,Import,Used engine from China
moteur 1az fe,French,Francophone West Africa,Engine,Engine code search — mechanics
pieces detachees auto,French,Francophone West Africa,Spares,Spare parts category
moteur occasion maroc,French,North Africa (Morocco),Engine,Morocco French-market search
moteur d occasion afrique,French,Francophone Africa,Engine,Regional used-engine search
محرك كورولا 2009,Arabic,North Africa,Engine,Arabic Toyota Corolla engine search
محرك كامري,Arabic,North Africa,Engine,Arabic Camry engine search
محرك هوندا crv,Arabic,North Africa,Engine,Arabic Honda CR-V search
محرك هوندا سيفيك,Arabic,North Africa,Engine,Arabic Honda Civic search
محرك هيونداي,Arabic,North Africa,Engine,Arabic Hyundai engine search
محرك نيسان,Arabic,North Africa,Engine,Arabic Nissan engine search
محرك مستعمل,Arabic,North Africa,Engine,Used engine — generic Arabic
محرك من الصين,Arabic,North Africa,Import,Engine from China — import intent
قطع غيار مستعملة,Arabic,North Africa,Spares,Used spare parts — core Arabic phrase
قطع غيار سيارات,Arabic,North Africa,Spares,Car spare parts category
هاف كت سيارات,Arabic,North Africa,Half-cut,Half-cut category in Arabic markets
نصف قص سيارة,Arabic,North Africa,Half-cut,Half-cut synonym in Arabic
محرك مع قير,Arabic,North Africa,Engine+GB,Engine with gearbox — bundle query
قطع غيار من الصين,Arabic,North Africa,Import,Parts from China — import intent
محرك تويوتا,Arabic,North Africa,Engine,Generic Toyota engine Arabic search
قطع غيار تويوتا,Arabic,North Africa,Spares,Toyota spare parts Arabic search
