发动机代码,品牌体系,本轮状态,已核查适配条数,南非目录已核查条数,中国来源公开发动机或半切记录数,供货证据边界,文章地址
2AR-FE,Toyota,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/2ar-fe.html
2GR-FE,Toyota,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/2gr-fe.html
1MZ-FE,Toyota,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/1mz-fe.html
3MZ-FE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
2RZ-FE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
3RZ-FE,Toyota,新增文章,1,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/3rz-fe.html
3SZ-VE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
1KR-FE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
1UR-FE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
3UR-FE,Toyota,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
3UZ-FE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
2ZR-FXE,Toyota,新增文章,1,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/2zr-fxe.html
2AZ-FXE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
1ZZ-FE,Toyota,已有文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/1zz-fe.html
1NZ-FE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
3ZR-FE,Toyota,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
2NZ-FE,Toyota,已有文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/2nz-fe.html
1NR-FE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
2NR-FE,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
8NR-FTS,Toyota,候选：未发布,0,0,0,未核实常备拆车机供应,
G4FA,Hyundai / Kia,新增文章,4,1,3,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/g4fa.html
G4EE,Hyundai / Kia,新增文章,3,1,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/g4ee.html
G4LA,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G4LC,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G4NB,Hyundai / Kia,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/g4nb.html
G4NC,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G4FD,Hyundai / Kia,新增文章,3,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/g4fd.html
G4FJ,Hyundai / Kia,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/g4fj.html
G4KC,Hyundai / Kia,新增文章,1,0,5,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/g4kc.html
G4JP,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G4JS,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G4EH,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G4HG,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G6EA,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G6DB,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G6DC,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G6DA,Hyundai / Kia,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
G6DG,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
G4KH,Hyundai / Kia,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
G4F4,Hyundai / Kia,候选：未发布,0,0,0,未核实常备拆车机供应,
K20A7,Honda,新增文章,2,0,2,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/k20a7.html
K24Z1,Honda,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
K24Z2,Honda,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
K24Z3,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
K24W5,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
K24W9,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
R18Z1,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
R18Z2,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
R20A9,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
L15B7,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
L15B8,Honda,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
L15B2,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
J35Z2,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
J35A9,Honda,候选：未发布,0,0,0,未核实常备拆车机供应,
QG15DE,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
QG16DE,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
QG18DE,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
QR20DE,Nissan,新增文章,3,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/qr20de.html
MR18DE,Nissan,新增文章,3,1,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/mr18de.html
MR20DD,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
